k,fighter,elo,match_id,date,weight_class
20,Alex Stiebling,1490,4908,2000-11-17,Middleweight
20,Alex Torres,1489.7044031171713,2047,2015-02-28,Featherweight
20,Alex White,1510,2482,2014-04-19,Featherweight
20,Alex White,1499.71225631668,2348,2014-07-16,Featherweight
20,Alex White,1489.7205382437342,2160,2014-12-06,Featherweight
20,Alex White,1500.0163186354612,1603,2016-02-06,Featherweight
20,Alex White,1490.0158489473772,1144,2017-01-15,Lightweight
20,Alex White,1500.606886072842,867,2017-09-09,Lightweight
20,Alex White,1490.5894185053014,691,2018-01-14,Lightweight
20,Alex White,1480.8602105953619,396,2018-09-08,Lightweight
20,Alex White,1491.410541420967,149,2019-03-09,Lightweight
20,Alexa Grasso,1510,1262,2016-11-05,Women's Strawweight
20,Alexa Grasso,1499.71225631668,1114,2017-02-04,Women's Strawweight
20,Alexa Grasso,1510.0165493397121,883,2017-08-05,Women's Strawweight
20,Alexa Grasso,1499.728329723141,536,2018-05-19,Women's Strawweight
20,Alexa Grasso,1509.7361490206688,8,2019-06-08,Women's Strawweight
20,Alexander Gustafsson,1510,3938,2009-11-14,Light Heavyweight
20,Alexander Gustafsson,1499.71225631668,3820,2010-04-10,Light Heavyweight
20,Alexander Gustafsson,1509.7205382437342,3704,2010-10-16,Light Heavyweight
20,Alexander Gustafsson,1519.7288201707884,3606,2011-02-26,Light Heavyweight
20,Alexander Gustafsson,1529.1615886165275,3492,2011-08-06,Light Heavyweight
20,Alexander Gustafsson,1538.3242161001851,3348,2011-12-30,Light Heavyweight
20,Alexander Gustafsson,1547.22560861546,3260,2012-04-14,Light Heavyweight
20,Alexander Gustafsson,1555.8746561440466,3038,2012-12-08,Light Heavyweight
20,Alexander Gustafsson,1544.2801767001342,2732,2013-09-21,Light Heavyweight
20,Alexander Gustafsson,1552.7539742440022,2533,2014-03-08,Light Heavyweight
20,Alexander Gustafsson,1541.2471548687033,2080,2015-01-24,Light Heavyweight
20,Alexander Gustafsson,1530.0655125316894,1749,2015-10-03,Light Heavyweight
20,Alexander Gustafsson,1539.2023111085057,1329,2016-09-03,Light Heavyweight
20,Alexander Gustafsson,1548.078742038607,995,2017-05-28,Light Heavyweight
20,Alexander Gustafsson,1537.0324834682358,224,2018-12-29,Light Heavyweight
20,Alexander Gustafsson,1525.9706211483367,14,2019-06-01,Light Heavyweight
20,Alexander Hernandez,1510,611,2018-03-03,Lightweight
20,Alexander Hernandez,1519.71225631668,427,2018-07-28,Lightweight
20,Alexander Hernandez,1510.0500335670322,217,2019-01-19,Lightweight
20,Alexander Volkanovski,1510,1211,2016-11-26,Lightweight
20,Alexander Volkanovski,1519.71225631668,979,2017-06-10,Featherweight
20,Alexander Volkanovski,1529.14549997581,773,2017-11-18,Catch Weight
20,Alexander Volkanovski,1538.5950052847,648,2018-02-10,Featherweight
20,Alexander Volkanovski,1547.488698589578,457,2018-07-14,Featherweight
20,Alexander Volkanovski,1556.1303127425208,228,2018-12-29,Featherweight
20,Alexander Volkanovski,1564.5286628298613,41,2019-05-11,Featherweight
20,Alexander Volkov,1510,1235,2016-11-19,Heavyweight
20,Alexander Volkov,1519.71225631668,1036,2017-04-15,Heavyweight
20,Alexander Volkov,1529.14549997581,870,2017-09-02,Heavyweight
20,Alexander Volkov,1538.3085872825525,595,2018-03-17,Heavyweight
20,Alexander Volkov,1527.2104242043408,351,2018-10-06,Heavyweight
20,Alexander Yakovlev,1499.71225631668,2421,2014-05-31,Welterweight
20,Alexander Yakovlev,1489.7358531959253,2233,2014-10-04,Welterweight
